,Baseline Model DSS,Refit Model DSS,Ablation Refit Model DSS
137,-7.318908800204028,-5.314994578184496,-2.357689239042486
138,-69.80973371507325,-71.45450623919278,-72.29140615977468
139,-61.48237563068783,-67.81219559172877,-68.54951085865275
140,-79.1431643505353,-79.50252551829544,-80.86098650272916
141,-68.51815046811791,-68.54971950632755,-71.19649085633904
142,-83.73735154159301,-82.87158338748165,-84.11936148057394
143,-85.56197092544177,-86.05713102841459,-86.19871387668037
144,-80.13731105120848,-79.80483352824325,-79.94603667119969
145,-70.60804961134369,-71.69826765767534,-72.01837624064133
146,-80.29419552240893,-79.22464397139737,-78.68520122420897
147,-69.46941632468977,-71.02973129145909,-72.57443723534374
148,-70.78144504892273,-70.07979048811104,-70.66264131738879
149,62.316711581061384,27.604605322729014,32.21671650945363
150,-3.557920618850261,-20.324085945137497,-25.630132827116782
151,-80.5632625731278,-81.26902584158893,-81.95777414575007
152,-81.55876191792726,-81.62096852565837,-83.16396067139027
153,-72.30209231554721,-76.85540493118705,-77.31952836089384
154,-73.3451208724667,-73.4337513881918,-73.51279793264435
155,-63.63428564695269,-63.20330967935547,-64.4760910994392
156,-88.25665088010145,-87.99491484209915,-88.37043846958866
157,-76.6607838227253,-77.09500575503458,-77.41978940156055
158,-78.7577158187155,-78.28369646734525,-78.40354634630424
159,-83.4688496713866,-84.41640611527505,-84.11614430723338
160,-87.6351722072277,-88.18255081286047,-87.88100835696412
161,-76.9975654270384,-76.85412224446631,-74.98458962924171
162,-58.86448665159615,-67.20637291500327,-66.82550992531148
163,-79.76280694306608,-81.13726556186278,-79.57303705449341
164,-85.75225532892549,-86.09277049568426,-86.7862861761902
165,-37.44722406960126,-48.05234966849735,-34.590749819290856
166,-59.29263895403335,-54.650607289241265,-57.45600787139678
167,-71.29048723344125,-72.10770273742229,-70.34171272565116
168,-84.38460796228676,-83.88558571923069,-83.8571288775277
169,-80.45313634523626,-82.52555220915772,-81.61344216066747
170,-82.43444058491615,-82.80251835255741,-83.47655075407872
171,-85.63992482025314,-85.22941323743171,-84.7643613238659
172,-87.08182773330834,-87.52854286562888,-87.05789249877768
173,-83.48079041503537,-82.76659617955525,-83.66733515112209
174,-82.20473715728703,-84.03687040050427,-83.98295269915727
175,-88.36328933267748,-88.88718436288711,-88.24637720425186
176,-74.222698481882,-77.45622929113304,-76.92585726205404
177,-83.93955344035166,-84.78941666001143,-85.36132022758642
178,-79.62223917446326,-81.6400956044293,-81.18754793140927
179,-82.20017071633214,-81.61737459432386,-79.81704359612786
180,-76.76811743706051,-76.90666728389844,-77.81695199203838
181,-74.91884841079387,-76.97148585664229,-77.106973404853
182,-62.28592654840567,-55.53855169244265,-57.8240998056472
183,-76.07272215016192,-77.52096992355074,-76.7896415652914
184,-69.2695082211379,-72.40445715559866,-73.88041927928887
185,-89.30887761006699,-88.9657781500708,-88.71665024350698
186,-84.24854093617259,-84.6168890867354,-84.51531153591145
187,-71.92143433062544,-71.73617245842178,-71.05839212405455
188,-81.97264514665314,-81.99993996336623,-82.42887621181464
189,-67.5712338903142,-70.16935973931173,-67.68642897412302
190,-89.54423101832248,-88.52375913430826,-89.02897785036619
191,-76.33543843354887,-77.38418284964263,-77.57750839756386
192,-76.39712576022322,-74.7439220466953,-76.32905502852888
193,-83.05029309889942,-82.82579209678596,-83.37032203482248
194,37.33866599691552,52.28988616056047,37.87582755117232
195,-59.181973379069994,-58.186608638964685,-57.156803568223005
196,-42.992805395832264,-50.70617563873719,-51.92431350073819
197,-87.8205149023273,-87.32325605162568,-87.05938348505505
198,-71.98877322476845,-73.25262549991861,-73.86989071167304
199,-70.41911409637305,-70.68319850218542,-70.24492003605884
200,-82.07750041649065,-81.44510790782721,-81.95001725510129
201,-59.82531005392825,-60.69648092622133,-60.03332888900823
202,74.93277855882133,53.925582592319444,38.80139669411352
203,-80.36026542760823,-80.06170041054133,-80.6105716598987
204,-48.86764963645903,-60.07857490435322,-59.59293678092979
205,-52.76996451744663,-59.33544636441996,-59.05747200450161
206,-74.58653667441843,-74.90252414765354,-75.80746619456042
207,-82.61560397387468,-81.88653559256753,-81.93724432027193
208,-78.51216539960787,-80.82831778300142,-80.0106875893211
209,-70.8378324217612,-68.00823242317105,-69.51531911422143
210,-66.89006163773102,-67.75008227316565,-68.87470044844262
211,-83.62769841013099,-83.95095969678701,-83.5848390970761
212,-85.63511170801792,-85.39690559014048,-84.7226934026989
213,-88.80223457770997,-88.28091239846691,-88.0927932095457
214,-73.91077676105766,-74.80758884073526,-75.20993021487806
215,-87.91083644506232,-87.71578683553534,-86.72167731820991
216,-87.1374530869915,-87.2703454092999,-86.9116070741447
217,-79.48412661662508,-79.65559488343051,-78.81440612816382
218,-76.48647091636289,-75.95503770357188,-75.32168180266369
219,-85.80909800072433,-85.31963762387107,-85.08549853290846
220,-86.72367078364539,-85.96533310989588,-86.35471275693678
221,-78.93640593533232,-78.70657555988478,-79.49864664910258
