,Baseline Model VS,Refit Model VS,Ablation Refit Model VS
39,0.6864659786224365,0.6675695776939392,0.6753177046775818
40,0.5137292146682739,0.5175358057022095,0.5084169507026672
41,0.23736025393009186,0.2326800376176834,0.23405073583126068
42,0.23382599651813507,0.22264231741428375,0.22579370439052582
43,0.3269994854927063,0.31927067041397095,0.31693732738494873
44,0.18641778826713562,0.1801101118326187,0.18052758276462555
45,0.09150867909193039,0.09023388475179672,0.0963200256228447
46,0.12681500613689423,0.12884649634361267,0.1309477537870407
47,0.29215890169143677,0.27917802333831787,0.28400349617004395
48,0.13655495643615723,0.13520045578479767,0.1338558942079544
49,0.14305654168128967,0.14561748504638672,0.1390560418367386
50,0.10769824683666229,0.10709165781736374,0.10370837152004242
51,0.12096872180700302,0.12219077348709106,0.11916562914848328
52,0.13493557274341583,0.14518161118030548,0.14549824595451355
53,0.14758679270744324,0.1567203551530838,0.15398772060871124
54,0.25260472297668457,0.2498490959405899,0.2565896213054657
55,0.12744909524917603,0.12828081846237183,0.12658192217350006
56,0.08816925436258316,0.08708914369344711,0.08747106790542603
57,0.21107058227062225,0.2146734893321991,0.2067110240459442
58,0.13072575628757477,0.13774530589580536,0.13610519468784332
59,0.6184020638465881,0.5994754433631897,0.609062910079956
60,0.14183175563812256,0.13923190534114838,0.13981665670871735
61,0.08274957537651062,0.08409569412469864,0.08240307867527008
62,0.10235834121704102,0.09588900208473206,0.09890973567962646
63,0.463143914937973,0.4627070724964142,0.4633455276489258
64,0.11114994436502457,0.1120043620467186,0.11652594059705734
65,0.2908729612827301,0.27340060472488403,0.2760089635848999
66,0.5619246363639832,0.5540892481803894,0.5582854151725769
67,0.18549306690692902,0.1753717064857483,0.1781044453382492
68,0.18599019944667816,0.19260230660438538,0.18857650458812714
69,0.11771068722009659,0.12176463752985,0.1207454726099968
70,0.24175871908664703,0.25055983662605286,0.24893483519554138
71,0.3336789906024933,0.31540101766586304,0.32417625188827515
72,0.4374823272228241,0.4357416033744812,0.4279332756996155
73,0.13952109217643738,0.14267289638519287,0.14069972932338715
74,0.4110661745071411,0.3769611716270447,0.38783764839172363
75,0.4436562657356262,0.43437907099723816,0.4332428574562073
76,0.16131481528282166,0.15966321527957916,0.15729737281799316
77,0.14370675384998322,0.13870763778686523,0.14294883608818054
78,0.10469748079776764,0.11242416501045227,0.10850424319505692
79,0.13386346399784088,0.13743965327739716,0.13246774673461914
80,0.11346039175987244,0.1199900433421135,0.11767832934856415
81,0.11980350315570831,0.1285816729068756,0.1192784309387207
82,0.13961699604988098,0.137099951505661,0.1356787383556366
83,0.3968825340270996,0.38568994402885437,0.38121625781059265
84,0.2616249620914459,0.25224384665489197,0.257543683052063
85,0.1011105477809906,0.10320279002189636,0.10278152674436569
86,0.20915202796459198,0.202185720205307,0.20621292293071747
87,0.20452573895454407,0.21805410087108612,0.20983752608299255
88,0.16233743727207184,0.14915935695171356,0.1494990736246109
89,0.11043354868888855,0.11180264502763748,0.10922696441411972
90,0.18970485031604767,0.17787081003189087,0.1811760812997818
91,0.1961219608783722,0.18241265416145325,0.18249884247779846
92,0.10023701190948486,0.10181182622909546,0.10341179370880127
93,0.13586513698101044,0.13924886286258698,0.14076068997383118
94,0.26488158106803894,0.2626054584980011,0.26709020137786865
95,0.16581115126609802,0.1762053370475769,0.17221428453922272
96,0.11079524457454681,0.10837020725011826,0.11122491955757141
97,0.26664331555366516,0.2651992738246918,0.26039695739746094
98,0.2061966210603714,0.20367313921451569,0.20100034773349762
99,0.14462773501873016,0.1408921778202057,0.1411437839269638
100,0.15001370012760162,0.15026992559432983,0.14717356860637665
