,Baseline Model DSS,Refit Model DSS,Ablation Refit Model DSS
36,-37.43979822846366,-32.58301957786943,-36.39721103134933
37,-68.53612205018018,-65.52538851557603,-65.87633855608945
38,-84.3875474085307,-83.50808696124271,-82.19507475415735
39,-38.04695230918455,-32.119908060441944,-39.48606828425075
40,-48.89380421856191,-47.66828419709785,-54.800621217457035
41,-86.49700956954291,-86.58172594550001,-86.52430382882979
42,-70.38037479620485,-69.77615585053177,-70.41852310803361
43,-71.7857303928695,-68.27356132301661,-69.70665436202579
44,-79.55441626689887,-77.05023879390458,-78.8315686396821
45,-88.03711959466243,-88.88843915431505,-88.52204817964783
46,-82.84099758940863,-82.68004386089108,-82.5738521763304
47,-73.34498209399997,-72.585093963837,-73.8561257287325
48,-83.51046996983197,-83.69941794050267,-83.88735644211212
49,-81.81978885818582,-80.33020458843386,-81.85325433511042
50,-83.04636091711825,-83.74637365348687,-82.96262219150077
51,-85.42901745497632,-85.48522460974401,-86.15968341658282
52,-89.34211217025971,-89.48347394371777,-89.28826854912823
53,-87.92505812214122,-87.85030563908396,-87.65287984882306
54,-77.17029658015122,-78.1117636823892,-77.23832338541338
55,-86.3230523968873,-86.04935350364904,-85.6622474986141
56,-87.19840145253254,-87.44604401453537,-87.4351675967895
57,-74.06555861585169,-72.32950135504025,-71.65032994996172
58,-87.0597475723901,-87.3426138424687,-86.65541581257051
59,-47.04048805248778,-45.2346137145919,-45.394216865231165
60,-86.03033964784872,-85.62144590426115,-85.40965989603936
61,-88.29139342854722,-88.43186347679655,-87.38302164450128
62,-84.41022220913439,-85.37909039170749,-85.04035614494501
63,-58.73540571734915,-55.86842852644148,-57.05646721865964
64,-84.45221518462584,-85.01755283231785,-84.8504100546587
65,-63.450283824375816,-65.72294588477065,-65.5177295505598
66,-41.93189937111477,-37.442458142586986,-40.20226651219083
67,-78.76810143198644,-78.39859206905824,-78.28306497406244
68,-76.46720983991898,-79.0265958322385,-78.9810001582394
69,-84.08965664910743,-86.28726898827462,-85.36875953877441
70,-81.67841234010666,-80.9037007660717,-81.3748659823931
71,-64.34585467375649,-62.979752523027244,-64.03038514422488
72,-48.657422117325126,-48.86601768516977,-52.27358160910109
73,-83.85014089268094,-84.96040746077502,-84.73349232846505
74,-59.20086489083054,-62.60138653946351,-62.01176185359492
75,-58.97180567986965,-60.513618523289715,-62.05953299534002
76,-77.05702168752047,-77.0200273517025,-78.51592753380996
77,-82.06032550398469,-81.92456130241425,-82.0575249432446
78,-87.78852721255826,-87.23839513430322,-87.46538253797317
79,-76.96847476917148,-77.02175713063764,-76.03677329198034
80,-89.03907502686835,-88.65343212527594,-88.71907529989346
81,-88.04861854840033,-87.62701964630884,-88.33022693000068
82,-87.21952868179731,-86.72464943121891,-87.00207748644297
83,-64.07423228480918,-61.53949636126978,-64.83554515622916
84,-75.75964175399488,-74.93700410906902,-76.28038678857169
85,-85.47420504090475,-86.39893506939147,-86.35905307379944
86,-78.40995226511704,-76.89344896414576,-76.38212996069483
87,-84.03339525438686,-84.1348911860955,-83.40597393581794
88,-83.44162502897332,-82.66776491234384,-83.34498949008139
89,-87.64372230180481,-87.18266709834201,-86.51842362386584
90,-80.24388015299101,-80.2233070314244,-79.24041638642879
91,-76.04079716635673,-77.86991481691726,-74.88841855497286
92,-88.40701715942502,-88.45385717532538,-87.95122617660896
93,-84.56384744855632,-84.31908879253028,-84.37404765076404
94,-51.70602009306988,-54.9858291193397,-50.348147009568606
95,-88.09324695137622,-88.35767343351839,-88.38608066615802
96,-85.77207494237547,-84.66267471661293,-85.72100920008273
97,-72.61080498246467,-71.6812520268037,-73.68776903219825
98,-69.79563627945429,-69.69875337508383,-68.66378968427067
99,-82.64249470046258,-83.61012929067303,-83.05258463353152
100,-80.66181734410753,-79.54504817069898,-79.77316220648176
