,Baseline Model ES,Refit Model ES,Ablation Refit Model ES
54,0.04169187542724609,0.04085118328857422,0.040612943176269525
55,0.017236858337402346,0.017293734008789065,0.017430965759277342
56,0.019059054687499997,0.01901059686279297,0.018207911865234377
57,0.028412465026855467,0.02818333221435547,0.028645287048339848
58,0.015497055450439452,0.015347365478515625,0.014927275604248048
59,0.05370389141845702,0.054782589477539056,0.05327937182617187
60,0.030239626739501955,0.031275567810058594,0.03102527752685547
61,0.0158437663269043,0.015463088623046874,0.015614677490234374
62,0.019994947021484372,0.01947138305664062,0.019748601593017584
63,0.04470350146484374,0.04431103955078125,0.04378965563964844
64,0.018430373413085937,0.017550637145996098,0.01775156677246094
65,0.031225296081542973,0.031157221496582035,0.031682845214843755
66,0.049200143920898436,0.04979533599853515,0.0492701781616211
67,0.02602844409179688,0.025968034851074222,0.02602190979003906
68,0.02205934307861328,0.021483990478515624,0.021505217437744143
69,0.022050326660156255,0.021039725097656253,0.0211999047241211
70,0.02663900628662109,0.0275188095703125,0.0265728962097168
71,0.03710778692626954,0.037144345153808586,0.037090689422607424
72,0.04348659301757812,0.04332435144042969,0.043603842041015625
73,0.01892081503295899,0.018853933288574223,0.019139130035400395
74,0.044906672607421885,0.044844982421875006,0.045348483947753905
75,0.043897832763671873,0.044305023437499993,0.04347769262695313
76,0.02712262640380859,0.028166375091552735,0.026637291046142576
77,0.031185328826904297,0.030449730621337892,0.03158772442626953
78,0.021690772918701175,0.023904917602539065,0.0221551273803711
79,0.056188500793457025,0.05667459118652344,0.056293182067871095
80,0.014972861846923827,0.016390968139648437,0.014739796875000002
81,0.017604781555175784,0.018232639831542972,0.016880250579833986
82,0.017587272155761717,0.016939476989746096,0.01709491931152344
83,0.08505399731445312,0.08519717047119141,0.08361098291015626
84,0.037694424438476565,0.03638086297607422,0.03829565112304688
85,0.017869424255371098,0.01705213287353516,0.017490628295898435
86,0.03015063977050781,0.029903198486328122,0.030908452117919927
87,0.025087562622070313,0.026481117431640624,0.025672450897216797
88,0.02713822351074219,0.02857401190185547,0.027133118957519534
89,0.021475084167480472,0.020408161743164066,0.02224472073364258
90,0.02846539129638672,0.02756698828125,0.02847601568603516
91,0.03819370867919922,0.036867711486816404,0.03596446527099609
92,0.015896070068359372,0.016138475433349612,0.01580449261474609
93,0.023046459777832033,0.02258656918334961,0.02343659600830078
94,0.035980846252441405,0.03601720864868164,0.0357468899230957
95,0.015458909423828122,0.015193629394531248,0.015538166564941409
96,0.03153814819335938,0.032450549194335945,0.03251841625976563
97,0.030607245178222657,0.031243034118652344,0.03068609234619141
98,0.06110775860595703,0.06175399035644531,0.05870723315429687
99,0.02376334924316406,0.023428581420898438,0.025049964477539065
100,0.022637706237792966,0.02253996319580078,0.02403798233032227
101,0.031344925354003905,0.030992004333496092,0.03008143576049805
102,0.015375874755859373,0.01580641549682617,0.016330056427001954
103,0.018876531372070314,0.01905393603515625,0.01916851531982422
104,0.022206056640625003,0.022667303710937503,0.02267456695556641
105,0.01710761853027344,0.017340525726318362,0.016429609008789064
106,0.014380711914062497,0.014098525512695314,0.01382369128417969
107,0.02252578857421875,0.022694488555908204,0.022722444091796874
108,0.05688810461425782,0.05724449932861328,0.055914520996093744
109,0.018786721740722656,0.018157157318115236,0.018337091369628907
110,0.03195807421875,0.032291758483886726,0.03284233935546875
111,0.0181438646850586,0.017979514221191407,0.018779239990234373
112,0.019682842346191404,0.01961017532348633,0.019825011199951177
113,0.028983336059570316,0.028954007263183597,0.031057688354492193
114,0.030764584625244142,0.030743020874023436,0.030583198822021488
115,0.02656882995605469,0.026304649169921878,0.026562254577636717
116,0.02373779290771485,0.024079001281738285,0.024306985595703125
117,0.027444180725097658,0.027505862670898436,0.026715334838867188
118,0.016654177551269533,0.01670815380859375,0.016719790802001956
119,0.019165859680175784,0.01835872329711914,0.018236325775146486
120,0.019295846282958988,0.018909819793701172,0.018629714782714846
121,0.033696843353271486,0.03265126629638672,0.03268728198242187
122,0.013618569396972657,0.013197650512695315,0.013434172332763672
123,0.02113607507324219,0.02057529278564453,0.02085629339599609
124,0.043989027526855476,0.04282881640625,0.04359717456054688
125,0.049160801574707036,0.04896990161132812,0.04893806433105469
126,0.02144087475585938,0.0216297807006836,0.021487484039306646
127,0.023292915954589842,0.023385252349853516,0.023139303466796875
128,0.037113314453125004,0.03857293115234375,0.03681181213378907
129,0.023335906341552734,0.0227008798828125,0.02273484411621094
130,0.04124154815673828,0.041097512207031256,0.04101033795166016
131,0.025470847595214844,0.025196092590332033,0.025596174011230474
132,0.03551575888061524,0.0354156979675293,0.03648573547363282
133,0.042119488037109375,0.04198804235839844,0.04095047235107421
134,0.03835368280029297,0.03841272967529297,0.03848066064453126
135,0.017637108123779294,0.01753155145263672,0.017897428100585935
136,0.037521142456054694,0.03697926712036133,0.036837799865722665
137,0.05453781457519531,0.05493935583496093,0.05473117395019532
138,0.032904987670898445,0.03399536651611328,0.033739517974853514
139,0.05556126428222657,0.05436950512695313,0.05414128179931641
140,0.026904069580078127,0.02727836096191406,0.026945158508300784
141,0.07310005267333985,0.073377921875,0.07265243383789063
142,0.023338587463378906,0.02335582379150391,0.022654539154052734
143,0.02350249877929688,0.02261765655517578,0.022870518066406248
144,0.03617719036865234,0.035842486602783205,0.037442314086914064
145,0.0380531460571289,0.037062161682128905,0.03736463854980469
146,0.032481343811035165,0.03376210195922852,0.030802692077636723
147,0.04621800604248047,0.045728755126953124,0.04710328930664062
148,0.0845366918334961,0.08508599645996094,0.08523527087402344
149,0.09630965881347656,0.09654136083984376,0.09497919396972657
150,0.08546947290039061,0.08613285540771484,0.0868839619140625
151,0.02726974395751953,0.027582067871093754,0.027529129974365234
152,0.032412261749267576,0.031055598968505863,0.030891895568847656
153,0.031266845397949224,0.03082156497192383,0.031060542358398443
154,0.03133651425170898,0.030714866943359377,0.03129382116699218
155,0.07000028839111327,0.0694729832763672,0.07045302770996095
156,0.022394261627197265,0.022181034729003905,0.02277861016845703
157,0.025021325408935546,0.025080409759521485,0.024928275848388675
