,Baseline Model VS,Refit Model VS,Ablation Refit Model VS
34,0.11459267139434814,0.1205192506313324,0.11805509775876999
35,0.34252262115478516,0.3423198163509369,0.34807732701301575
36,0.5999539494514465,0.6109564304351807,0.6057145595550537
37,0.3568272590637207,0.36909979581832886,0.364501416683197
38,0.1406823843717575,0.14417079091072083,0.15003469586372375
39,0.6692232489585876,0.6797007322311401,0.6633061766624451
40,0.5252029895782471,0.5323051810264587,0.5131595730781555
41,0.2302524596452713,0.22273804247379303,0.24097035825252533
42,0.23324671387672424,0.2328384965658188,0.22895149886608124
43,0.3134099543094635,0.32412606477737427,0.31965145468711853
44,0.17883358895778656,0.18819743394851685,0.18048810958862305
45,0.0926549881696701,0.08739054203033447,0.09275684505701065
46,0.1282234638929367,0.12940481305122375,0.12705105543136597
47,0.2896115779876709,0.2916033864021301,0.2796798646450043
48,0.1345362663269043,0.1343596875667572,0.13076552748680115
49,0.1438300758600235,0.14944922924041748,0.14163513481616974
50,0.10159308463335037,0.10375379770994186,0.10235133022069931
51,0.12333843857049942,0.12340088188648224,0.12093843519687653
52,0.14326050877571106,0.1432303935289383,0.14043164253234863
53,0.15493158996105194,0.1559983193874359,0.15981663763523102
54,0.25025129318237305,0.2585322856903076,0.2570752799510956
55,0.12405885756015778,0.12245561927556992,0.12758788466453552
56,0.08669936656951904,0.08657240122556686,0.08820980042219162
57,0.20631708204746246,0.21352046728134155,0.2101406306028366
58,0.12913070619106293,0.1334945410490036,0.1376517415046692
59,0.5952873229980469,0.6124218702316284,0.6097097396850586
60,0.1393022984266281,0.14083489775657654,0.13993731141090393
61,0.08162099123001099,0.077277272939682,0.0854150652885437
62,0.10010681301355362,0.10215234011411667,0.10018724948167801
63,0.4642774164676666,0.46084097027778625,0.45696523785591125
64,0.11354028433561325,0.1115831509232521,0.11580302566289902
65,0.2829836905002594,0.2832984924316406,0.2733871340751648
66,0.5542288422584534,0.5644362568855286,0.559920608997345
67,0.18047964572906494,0.18251186609268188,0.17883478105068207
68,0.18965116143226624,0.1881231814622879,0.19219741225242615
69,0.118716299533844,0.113746777176857,0.12006072700023651
70,0.2496926486492157,0.2534102201461792,0.251019686460495
71,0.3268994390964508,0.33662837743759155,0.32340264320373535
72,0.4279901385307312,0.4350540041923523,0.42349115014076233
73,0.139521986246109,0.13510343432426453,0.1381467878818512
74,0.38839560747146606,0.40447527170181274,0.3797750174999237
